,events,births,deaths
2016-09-02,39,196,104
2016-09-03,50,188,85
2016-09-04,43,207,88
2016-09-05,57,252,102
2016-09-06,47,209,97
2016-09-07,66,245,138
2016-09-08,67,258,88
2016-09-09,58,216,97
2016-09-10,36,205,97
2016-09-11,76,216,143
2016-09-12,56,214,93
2016-09-13,58,220,90
2016-09-14,45,251,105
2016-09-15,57,232,94
2016-09-16,48,238,85
2016-09-17,68,224,103
2016-09-18,77,241,80
2016-09-19,44,234,80
2016-09-20,47,224,95
2016-09-21,44,248,88
2016-09-22,43,246,79
2016-09-23,39,244,88
2016-09-24,43,214,96
2016-09-25,41,265,113
2016-09-26,47,240,84
2016-09-27,47,221,92
2016-09-28,56,27,83
2016-09-29,43,244,88
2016-09-30,54,232,72
2016-10-01,76,247,83
2016-10-02,32,197,84
2016-10-03,41,198,96
2016-10-04,48,214,90
2016-10-05,51,249,91
2016-10-06,38,216,96
2016-10-07,48,223,86
2016-10-08,50,248,91
2016-10-09,56,198,86
2016-10-10,44,244,109
2016-10-11,45,204,75
2016-10-12,59,226,110
2016-10-13,43,202,90
2016-10-14,67,226,101
2016-10-15,48,240,88
2016-10-16,55,237,124
2016-10-17,52,217,98
2016-10-18,42,227,108
2016-10-19,51,233,96
2016-10-20,37,242,91
2016-10-21,49,227,94
2016-10-22,58,216,83
2016-10-23,52,227,88
2016-10-24,48,348,106
2016-10-25,32,241,119
2016-10-26,55,212,108
2016-10-27,44,221,98
2016-10-28,54,231,105
2016-10-29,65,195,81
2016-10-30,51,214,91
2016-10-31,44,262,100
2016-11-01,76,206,81
2016-11-02,34,176,85
2016-11-03,49,217,97
2016-11-04,40,184,91
2016-11-05,39,219,96
2016-11-06,34,153,98
2016-11-07,62,235,81
2016-11-08,45,211,94
2016-11-09,56,199,95
2016-11-10,46,276,87
2016-11-11,56,199,93
2016-11-12,53,201,79
2016-11-13,42,174,86
2016-11-14,40,229,88
2016-11-15,53,219,103
2016-11-16,41,209,112
2016-11-17,62,225,118
2016-11-18,54,235,72
2016-11-19,44,243,105
2016-11-20,44,206,105
2016-11-21,59,224,116
2016-11-22,40,250,102
2016-11-23,53,247,113
2016-11-24,36,204,101
2016-11-25,56,209,90
2016-11-26,41,206,106
2016-11-27,51,198,106
2016-11-28,50,196,105
2016-11-29,49,227,112
2016-11-30,38,218,90
2016-12-01,42,206,98
2016-12-02,40,181,99
2016-12-03,37,200,90
2016-12-04,47,161,82
2016-12-05,48,228,97
2016-12-06,41,209,91
2016-12-07,34,182,113
2016-12-08,40,231,88
2016-12-09,51,235,100
2016-12-10,42,202,100
2016-12-11,51,180,82
2016-12-12,46,209,98
2016-12-13,37,191,111
2016-12-14,44,215,100
2016-12-15,49,164,68
2016-12-16,49,207,101
2016-12-17,57,224,86
2016-12-18,34,186,96
2016-12-19,38,200,82
2016-12-20,37,178,85
2016-12-21,35,168,55
2016-12-22,49,189,78
2016-12-23,34,183,89
2016-12-24,42,219,107
2016-12-25,48,239,103
2016-12-26,39,183,96
2016-12-27,38,178,97
2016-12-28,38,186,89
2016-12-29,37,165,76
2016-12-30,40,211,85
2016-12-31,55,199,107
